declarationbarlow1996.txt,5089,5089,252.7,4.08,114.66,1996,1996,1996,declaration,
arttext.fun,3910,4020,46.34,1.45,4.92,nd.,nd.,nd.,textfile,
feh-1,54622,54625,44.82,2.12,7.99,1995-1995,1995,1995,textfile,
mathimp.txt,4097,4177,52.86,2.65,10.83,nd.,nd.,nd.,textfile,
whytext.oct,2159,2223,56.62,2.12,9.15,nd.,nd.,nd.,textfile,
utopia.hum,3063,3193,34.51,2.02,6.06,1984,1984,1984,textfile,
easymony.ana,6564,6709,55.34,2.25,7.97,1986-1986,1986,1986,textfile,
dec.wars,31839,31839,59.6,2.41,9.9,nd.,nd.,nd.,textfile,
apples.txt,8548,8960,30.49,1.15,4.34,1985,1985,1985,textfile,
krckwczt.app,134363,137510,48.67,1.59,4.92,1985,1985,1985,textfile,
groupass.phk,1763,1809,55.39,2.93,11.65,nd.,nd.,nd.,textfile,
killshco.ana,16541,16886,62.29,2.81,11.34,nd.,nd.,nd.,textfile,
pokelist.app,19300,19769,46.5,1.11,2.93,1977-1998,1977,1998,textfile,
mindvox,66115,66115,67.59,2.14,32.91,1978-1993,1978,1993,textfile,
ad.txt,1629,1664,53.07,0.51,1.55,nd.,nd.,nd.,textfile,
violence.txt,11265,11481,59.72,2.14,12.55,1985-1985,1985,1985,textfile,
ethics.txt,7987,8140,59.79,2.84,19.3,nd.,nd.,nd.,textfile,
eel_bye.txt,7543,7680,64.4,1.26,7.62,1992,1992,1992,textfile,
bbsdeath.pro,7490,7639,63.83,2.85,15.79,1977,1977,1977,textfile,
captmidn.txt,23981,24394,68.91,2.74,17.22,1985-1987,1985,1987,textfile,
beefstar.hum,2890,2965,55.2,2.27,11.15,nd.,nd.,nd.,textfile,
spock.art,5821,5904,69.98,0.1,0.29,nd.,nd.,nd.,textfile,
index.html,73258,73258,585.06,3.05,12.54,1960-1995,1960,1995,textfile,
miami.hum,7940,8107,61.2,2.96,18.49,nd.,nd.,nd.,textfile,
nighhack.omn,9225,9225,68.21,2.43,15.3,1984,1984,1984,textfile,
elites.txt,3055,3113,51.67,3.07,16.29,nd.,nd.,nd.,textfile,
yipl.phk,15312,15312,58.62,1.91,6.41,1966-1971,1966,1971,textfile,
